label,centroid
250,"[ 3.36552453e+00  4.13292217e+00 -2.69144535e+00  1.54684722e+00
  2.66785336e+00 -3.14793587e+00  3.15199709e+00  3.77725631e-01
 -3.16860414e+00 -2.47498560e+00 -3.52991104e+00  2.75686789e+00
 -1.52277863e+00  2.49091387e+00  1.43604970e+00  2.59856391e+00
 -2.78717279e+00 -4.50879872e-01  3.40658236e+00 -2.24563265e+00
  4.22273350e+00 -2.52351952e+00 -3.19178081e+00  2.84818411e+00
  2.06277799e-03 -3.43135548e+00  3.43959713e+00 -2.56312060e+00
  1.86442947e+00 -2.63765335e+00 -3.49525690e+00  3.18134022e+00]"
251,"[ 1.37294728 -0.60815763  0.61103317 -1.96996743  1.22425583  2.48516764
  1.47778838  2.78816359 -1.25013351  0.29729877 -2.2372164  -1.59147154
 -1.60122163 -2.81225695 -0.13316572 -0.02424313  0.56147517 -1.10972023
 -1.27601991  1.0401266   2.33483233  2.09042059  0.11291662 -1.59626702
  3.60624204  0.74227694  0.53348977 -2.38408961  0.57447556  3.1092126
 -0.3705711   0.64087268]"
252,"[-1.77168191 -0.74204868  0.50099919 -1.02191729 -0.60192474  3.60361914
 -1.37848045 -0.87647742  1.88826979  1.38574641  1.46642922 -0.80199298
  0.54527845 -1.91715942 -0.49919232 -1.97444503  1.57949076 -0.24106059
 -1.13046461  1.31017035 -1.51046093  1.13901674  1.33286244 -0.6037392
  0.31757661  1.69878305 -1.35864031  0.94296553 -1.58488712  1.71955067
  3.35212048 -3.4163375 ]"
254,"[ 0.03994156 -0.16703136 -0.00617895 -2.39938758 -0.47171009  3.52954685
  0.18774099  1.1668672   0.39750051  0.25985903  0.13335119 -0.60051077
  0.26682871 -2.0209189   0.55667485 -0.82887919  0.68825273 -1.79517454
 -0.86505217  0.64208906 -0.07410859  0.88572289 -0.02543633 -0.38242079
  1.75036554  0.79214988 -0.36014916 -0.5314478  -0.05128668  1.95037617
  2.24433248 -1.9343145 ]"
255,"[ 2.81723574  2.55827494 -2.707683   -1.33525735  0.32642657 -0.66080954
  3.09428276  3.51549709 -2.43868954 -3.2397672  -2.03763369  0.75342828
  0.15664638  0.2813197   3.29451541  1.35235888 -2.95960706 -3.62496234
  1.12291206 -2.96459474  2.51801641 -1.85877293 -2.16437417  1.55702567
  1.99939387 -1.92029377  2.41528856 -2.14657219  3.52963614 -0.6142555
 -1.51353487  2.58177023]"
256,"[ 3.0209229   2.83543444 -2.9086287  -1.07263339  0.51854467 -1.02556491
  3.29519391  3.39104056 -2.67967653 -3.40646195 -2.20779324  0.95320678
  0.03260773  0.49618164  3.3108232   1.47037101 -3.17925572 -3.46869826
  1.35070455 -3.15734696  2.75312567 -2.1139884  -2.26801205  1.78962672
  1.8728261  -2.10854602  2.69049788 -2.29906821  3.61176729 -0.93383294
 -1.759992    2.87521338]"
257,"[-1.8129092   2.13509984 -2.4600095   1.3228215  -2.77924995 -0.63021416
 -1.16961465 -1.495403    1.9112831  -1.45691788  2.26693102  2.15958462
  3.71871653  2.03178652  2.47841685 -1.13880289 -1.7339722  -2.81601805
  1.63668085 -2.25554895 -2.40695765 -2.58311561  0.14508019  2.68377128
 -2.17115259 -0.91852881 -0.06272178  2.98678425 -0.09413835 -2.24767853
  1.98127714 -1.47195188]"
258,"[ 1.23332606  2.37515365 -2.72388246 -0.71378432 -0.91903983 -0.51444721
  1.67624293  2.27957747 -0.88536729 -2.83735657 -0.62727637  1.14157931
  1.58565511  0.77384128  3.41148101  0.51479287 -2.66344918 -3.9553104
  1.21818998 -2.87953673  0.82682678 -2.04820675 -1.49999343  1.87500572
  0.81275935 -1.60407458  1.50895405 -0.32670924  2.58619308 -0.95210499
 -0.3515514   1.26411194]"
259,"[-3.46347403 -3.17613002  3.04075933  1.18464377  2.15643403  2.39192021
 -3.05118736 -2.73919916  3.41010631  3.53003458 -0.60079725 -3.27931801
 -2.27036593 -4.24158508 -3.05872692 -3.77955687  3.83758756  2.45442365
 -3.12565474  3.7268653   0.08066906  3.94993717  3.55165767 -3.39254457
 -0.28420314  4.01851136 -3.42163535  2.11189686 -3.72893732  3.99658177
  0.79301545 -1.48073878]"
261,"[ 2.05272051  1.44531288 -1.66109085 -2.59086736 -0.32377408  1.43161303
  2.20301692  3.47715327 -1.50997353 -2.11258774 -1.35922864  0.12399596
  0.42571039 -0.83882434  2.6948143   0.73657646 -1.62865054 -3.82108409
  0.18208704 -1.6058548   1.59266917 -0.65179157 -1.72625974  0.70187575
  2.51614075 -1.04156831  1.35937093 -1.79296265  2.58678818  0.81839612
  0.01271271  0.87304045]"
262,"[-1.99460391 -0.0928138  -0.18599139 -0.52605247 -1.32569699  2.84624562
 -1.51532129 -1.17322151  2.09659544  0.81723599  1.88929992 -0.03950423
  1.48494493 -0.99217581  0.19050527 -1.9129288   0.89304092 -0.92562704
 -0.49848297  0.5573834  -2.01103779  0.25426745  1.12415598  0.22692043
 -0.36736253  1.13777006 -1.1617542   1.5944644  -1.418801    0.81143237
  3.40793723 -3.33010637]"
263,"[-3.37243754 -3.07760435  2.94256895  1.04683251  2.0419298   2.50779648
 -2.96514994 -2.62926841  3.32531469  3.44496416 -0.51516256 -3.19011372
 -2.16568566 -4.17334895 -2.96137655 -3.69641754  3.76119607  2.34090192
 -3.05566238  3.6388742   0.02168417  3.85329576  3.45044148 -3.29099809
 -0.21405731  3.92621996 -3.33027438  2.02799878 -3.63064086  3.9316966
  0.92667064 -1.59548242]"
265,"[-2.35159597 -1.84246851  1.67528165 -0.39101484  0.60664866  3.52283207
 -1.99064612 -1.46530742  2.39751951  2.35977197  0.55163679 -1.97522416
 -0.77103886 -3.13021875 -1.68235348 -2.70409196  2.69099106  0.92500693
 -2.08732654  2.47198979 -0.76960508  2.5088629   2.23042962 -1.92011987
  0.36718639  2.7474412  -2.22455991  1.19574516 -2.4520148   2.92062796
  2.41017102 -2.79264241]"
266,"[ 2.34515658  3.74010468 -1.38421596  2.64888451  3.7768142  -3.11517577
  1.72235437 -1.62432775 -2.11285296 -0.747526   -4.01490229  3.3776748
 -2.38978854  3.38821619 -0.26040374  3.38257009 -1.1781976   1.37928867
  4.24208138 -0.30821315  4.20617988 -1.30875718 -3.89455761  2.34097654
 -1.12197937 -3.90878088  2.26476479 -1.76597977 -0.16947396 -2.22937324
 -4.17593523  1.56216691]"
267,"[ 3.45635659  4.16160556 -2.82252584  1.42523275  2.55287852 -3.13981056
  3.28931073  0.58781971 -3.25937326 -2.65245056 -3.47561754  2.68362045
 -1.42998396  2.39184788  1.61993081  2.50974519 -2.9503855  -0.65365158
  3.31472288 -2.4446561   4.21633421 -2.64400155 -3.11653764  2.89216042
  0.11575028 -3.37074852  3.54551343 -2.62913431  2.07747214 -2.66848864
 -3.4148189   3.33840152]"
268,"[-2.1332827  -1.49181451  1.29717452 -0.66680541  0.20752096  3.63838026
 -1.76966646 -1.23870963  2.20927768  2.05101578  0.8710941  -1.60074884
 -0.34830312 -2.76344356 -1.30182393 -2.45827371  2.34702753  0.54208512
 -1.78428692  2.11288396 -1.02718071  2.07594257  1.92080448 -1.49823818
  0.39908964  2.4173324  -1.93519832  1.0643259  -2.15390679  2.5545756
  2.7786837  -3.06214001]"
269,"[ 1.44248422 -0.02867    -0.06296119 -2.62554089  0.4216307   2.79404767
  1.51703612  2.83048089 -1.06743717 -0.34081634 -1.56114133 -0.95750713
 -0.70939239 -2.28992208  0.7961425   0.08514923  0.08399533 -2.14496215
 -0.86080321  0.37480446  1.66223574  1.21352084 -0.54542605 -0.77964743
  3.15891457  0.28430418  0.57780949 -2.04049079  1.02557778  2.44489288
  0.42913747  0.02616472]"
270,"[ 3.13214531  2.99845085 -3.02415009 -0.89081545  0.66783657 -1.28022099
  3.40982208  3.29698753 -2.82802525 -3.49423828 -2.33091316  1.05897503
 -0.07479177  0.63595128  3.31333504  1.53472872 -3.32101898 -3.34647293
  1.49795561 -3.26917458  2.92253799 -2.2630312  -2.32484818  1.92743206
  1.78678207 -2.21594543  2.86736069 -2.39811974  3.6643177  -1.13027029
 -1.93088493  3.09059658]"
271,"[ 1.65874807  0.71050459 -0.88424711 -3.01883742 -0.28195235  2.56870853
  1.7406228   3.07176186 -1.0914273  -1.22837729 -1.14902014 -0.28250548
  0.13178342 -1.57814475  1.89090841  0.33627704 -0.6947279  -3.27246991
 -0.33389134 -0.57539906  1.25195155  0.18204437 -1.28465821  0.09742769
  2.7306992  -0.37923549  0.81832392 -1.77023024  1.7297296   1.60986362
  0.75327991 -0.05165557]"
272,"[-0.41716245  1.94039141 -2.2598175  -0.30702445 -2.05217133  0.37270374
  0.05025694  0.43432862  0.69939995 -1.72803917  0.99710541  1.48542315
  2.67101898  0.90654538  2.70210673 -0.52370427 -1.69347509 -3.47799784
  1.10298958 -2.0280791  -1.02346522 -1.88764661 -0.61109581  2.04629377
 -0.3562027  -0.9656208   0.46268965  1.25387586  0.91099968 -1.03599892
  1.5064607  -0.81592986]"
273,"[ 3.26602789  3.20042801 -3.15414429 -0.67044368  0.82032761 -1.54891968
  3.52568876  3.12504754 -2.99006594 -3.5683227  -2.43857516  1.2190598
 -0.17995339  0.80622416  3.27037577  1.6093728  -3.45298151 -3.16480813
  1.67533112 -3.36876209  3.08763827 -2.44745269 -2.38152255  2.11324325
  1.66194652 -2.3436134   3.06542617 -2.50681246  3.67152346 -1.37938764
 -2.08943118  3.28379029]"
274,"[-2.01805352  1.77827318 -2.0802675   1.04233068 -2.78588206  0.01844336
 -1.39565057 -1.6070282   2.08998498 -1.03294593  2.40996992  1.92912428
  3.57105035  1.6329639   2.09291992 -1.32443297 -1.26314307 -2.57282376
  1.35179248 -1.76823866 -2.61805708 -2.18746796  0.32669351  2.37980923
 -2.01923235 -0.6105509  -0.32283276  2.94953783 -0.47506799 -1.81644677
  2.46946259 -2.04348331]"
275,"[-5.53109325e-04  4.32128063e-01 -6.42729392e-01 -2.12405601e+00
 -1.05548184e+00  2.92384280e+00  2.05368977e-01  1.12104445e+00
  4.41498756e-01 -3.15870358e-01  4.16626417e-01  1.42212579e-02
  1.01674329e+00 -1.26740324e+00  1.21704820e+00 -6.75183663e-01
  3.60711125e-02 -2.48616409e+00 -3.52318067e-01 -5.68575309e-02
 -3.95433683e-01  1.07352679e-01 -3.02517891e-01  3.26448551e-01
  1.31903399e+00  2.57559520e-01 -1.12957175e-01 -1.48475766e-01
  2.59109901e-01  1.22331685e+00  2.27901840e+00 -1.81214831e+00]"
276,"[ 2.16728058  0.86471634 -0.95558004 -2.03747158  0.5203856   1.25066185
  2.2894125   3.33828125 -1.81498737 -1.39887991 -1.97413273 -0.44380369
 -0.55571337 -1.32573528  1.59538097  0.70440106 -1.10968657 -2.55905075
 -0.15635303 -0.83874931  2.22127514  0.20540762 -1.08984432 -0.07270578
  2.99335289 -0.57833014  1.4021554  -2.33070374  2.06430569  1.38004818
 -0.67745194  1.37427406]"
277,"[ 0.89954599  0.02847726 -0.16556369 -2.80990156 -0.20517047  3.28702609
  0.94958623  2.14474932 -0.41187692 -0.20995235 -0.65805527 -0.65295303
 -0.07209042 -2.08295012  0.88979761 -0.2341941   0.28681111 -2.27157688
 -0.79078062  0.39362955  0.74032895  0.86259556 -0.52946548 -0.41398827
  2.46892945  0.37661831  0.15934418 -1.35430225  0.677236    2.11534214
  1.45084222 -1.02051791]"
278,"[ 0.30404609 -0.76545596  0.69033825 -2.21877599  0.4220247   3.44525504
  0.41350305  1.56918383 -0.03746893  0.7458654  -0.8721745  -1.34969831
 -0.79328507 -2.78792715 -0.18731022 -0.76154333  1.15788329 -1.09946144
 -1.37004399  1.32503319  0.92007154  1.86746192  0.35409084 -1.28679919
  2.53886747  1.16577137 -0.33017153 -1.20298719 -0.21871005  2.88192081
  1.2660917  -1.09550309]"
279,"[-2.06366348  0.18033191 -0.467716   -0.31749839 -1.61555801  2.50416983
 -1.5579108  -1.27204858  2.15655395  0.56895521  2.04040047  0.26705766
  1.86048791 -0.60981461  0.4762484  -1.87142723  0.60214689 -1.20783627
 -0.23506197  0.23526295 -2.18909651 -0.11002092  1.02754802  0.56216812
 -0.63428227  0.89560521 -1.0733266   1.85101072 -1.32499461  0.43675595
  3.38192404 -3.25109765]"
280,"[-4.49761553 -4.28700416  4.13411929  3.07170583  3.53916498  0.4634287
 -4.04647782 -4.12596335  4.38763747  4.43264634 -1.68616258 -4.22757368
 -3.48052865 -4.78646851 -4.12474721 -4.67403993  4.54330125  3.81282909
 -3.81054095  4.62303594  0.81678396  4.91073107  4.71172504 -4.47975409
 -1.34674926  4.98461641 -4.44390459  3.21409083 -4.81569478  4.48953748
 -1.14286189  0.27470666]"
281,"[ 0.4567438   2.5043124  -2.87162123 -0.04783709 -1.49440945 -0.76657493
  0.98819793  1.32231409 -0.19182751 -2.67382334  0.13045987  1.5609249
  2.29051074  1.29451438  3.36768506  0.11358741 -2.63819855 -3.82399944
  1.47907197 -2.96380645 -0.0106007  -2.40113427 -1.13608214  2.27347101
 -0.05677088 -1.564796    1.20738534  0.61454952  2.02596133 -1.50203615
  0.15227413  0.68932425]"
282,"[-1.84814636 -0.96629384  0.73672297 -0.96438619 -0.3611822   3.65298462
 -1.46672546 -0.94321452  1.95462748  1.58328298  1.29724009 -1.04944784
  0.26908529 -2.18453796 -0.73552806 -2.09997559  1.80843201 -0.00953827
 -1.33239207  1.55075663 -1.36106466  1.42183655  1.48980601 -0.8760497
  0.38114044  1.91262268 -1.51418447  0.93263143 -1.72828471  1.98368286
  3.21216919 -3.33552287]"
284,"[ 2.63068339  3.8596288  -1.71433576  2.41440074  3.55961405 -3.17167664
  2.09746539 -1.16218452 -2.39480998 -1.16935539 -3.93366343  3.25806834
 -2.21769129  3.19281616  0.14530064  3.20382436 -1.59113973  0.96991577
  4.07553304 -0.7884229   4.25301208 -1.62531713 -3.7523997   2.49121195
 -0.86035035 -3.8116984   2.58571879 -1.98774096  0.319911   -2.3608284
 -4.05004756  2.00621681]"
285,"[ 3.3290094   4.09961914 -2.63949738  1.5712912   2.70664917 -3.1397583
  3.1034671   0.32821995 -3.11836853 -2.41604385 -3.54449188  2.76127808
 -1.54617996  2.50117676  1.39369232  2.61053009 -2.73281769 -0.41106392
  3.42091858 -2.18485291  4.21357574 -2.47151718 -3.20631836  2.81605896
 -0.02803574 -3.42910217  3.3865332  -2.52411819  1.80527267 -2.60936218
 -3.5100769   3.13245728]"
286,"[ 0.98023216  0.30300148 -0.45966796 -2.8932635  -0.44260192  3.1456728
  1.03541827  2.23080111 -0.42776366 -0.54348207 -0.56711042 -0.40423675
  0.22694812 -1.81815704  1.27663612 -0.14307994 -0.00907832 -2.6945502
 -0.59277467  0.05215342  0.63140349  0.50703824 -0.77635312 -0.10085411
  2.33201218  0.12608104  0.25474193 -1.24419753  0.91422025  1.82770697
  1.50012589 -0.98355047]"
287,"[ 0.06493282  0.92223894 -1.15072999 -1.87854679 -1.4391368   2.3493557
  0.30706358  1.18283551  0.36112917 -0.83924697  0.49469658  0.47651914
  1.53386307 -0.66965793  1.76465284 -0.4976493  -0.52469367 -3.03453563
  0.08779051 -0.66013233 -0.52492274 -0.49101268 -0.57348141  0.86636734
  1.04072116 -0.2162657   0.14083883  0.08307684  0.59744615  0.64327702
  2.1017861  -1.53060444]"
288,"[ 0.70831618  0.9744215  -1.19064875 -2.32364864 -1.1252037   2.34891663
  0.8745182   1.94769154 -0.21050162 -1.11839342 -0.08714972  0.3093399
  1.15892754 -0.89093971  1.97224274 -0.13821727 -0.70965471 -3.31194115
  0.01754691 -0.76791258  0.1105611  -0.39685466 -0.94325571  0.72942314
  1.63606243 -0.39588714  0.45301347 -0.57674375  1.14007854  0.89032955
  1.5983881  -0.94444437]"
289,"[-2.05804675 -1.35365696  1.14967554 -0.75264347  0.05715582  3.65165202
 -1.68935078 -1.1546244   2.14048413  1.92703602  0.98257554 -1.45900102
 -0.18665206 -2.61609811 -1.15203364 -2.36451398  2.20763112  0.39326508
 -1.66914059  1.96574664 -1.11365424  1.90666199  1.80757419 -1.33622141
  0.4010916   2.28566688 -1.82468376  1.02695064 -2.03945784  2.41013005
  2.89679972 -3.13886115]"
291,"[ 3.76108119  4.1916509  -3.24497019  0.90082753  2.03304291 -3.01686045
  3.76279653  1.41058286 -3.57501526 -3.26572037 -3.21195679  2.33839773
 -1.03921782  1.95229149  2.26639659  2.15408885 -3.48755747 -1.42041893
  2.88521144 -3.12374496  4.11748861 -3.00819092 -2.77600428  2.98253835
  0.59217472 -3.09761302  3.88505452 -2.86776581  2.8412267  -2.70609639
 -3.05983531  3.85944366]"
292,"[-2.14741375  0.55654937 -0.8504793   0.01259284 -1.99660668  1.9745312
 -1.60695777 -1.43376864  2.22639395  0.22261565  2.22963703  0.70227409
  2.36207721 -0.05156644  0.85710813 -1.79781342  0.18750585 -1.56129444
  0.15147077 -0.2177346  -2.4238901  -0.62308614  0.89155802  1.03048894
 -1.02821409  0.54790104 -0.94249238  2.20624906 -1.19995986 -0.11575026
  3.29783536 -3.09871803]"
293,"[-1.82107308 -0.90812856  0.67631163 -0.99027052 -0.42363825  3.66197713
 -1.44088246 -0.92280279  1.93077523  1.53862417  1.35346821 -0.9860937
  0.33794898 -2.1173915  -0.68363821 -2.06489963  1.75507318 -0.05586161
 -1.28176598  1.49292964 -1.40701467  1.3502685   1.44915381 -0.80599649
  0.37652779  1.86124856 -1.47146161  0.92161542 -1.68911743  1.9157357
  3.26339613 -3.37742506]"
294,"[ 0.09436589 -0.9066143   0.84375906 -2.06950537  0.4691292   3.51455657
  0.22679909  1.33395847  0.1245873   0.95906782 -0.76759609 -1.44343917
 -0.84346326 -2.8653218  -0.40969904 -0.90839211  1.34678189 -0.83013471
 -1.4596734   1.50049718  0.81272475  2.0125858   0.55842698 -1.41133086
  2.43824482  1.33306328 -0.47088754 -1.07034334 -0.45548797  2.95567067
  1.3703653  -1.26254765]"
295,"[ 0.0605986  -0.01039954 -0.16968736 -2.37984424 -0.62708924  3.40844811
  0.2221414   1.19785002  0.38345019  0.10217015  0.20764318 -0.43856674
  0.45425336 -1.83509615  0.73496268 -0.76568884  0.5119097  -1.98973931
 -0.73878135  0.4579756  -0.15205284  0.68210496 -0.12381034 -0.20116752
  1.67731889  0.64380863 -0.27932689 -0.47404019  0.04603882  1.77376684
  2.2848214  -1.9239752 ]"
296,"[-2.54169049 -2.10322521  1.95035487 -0.13894628  0.9091189   3.38881916
 -2.17527373 -1.67171279  2.56462644  2.59142088  0.32496081 -2.24623075
 -1.08334848 -3.38295414 -1.96455931 -2.90269636  2.9367009   1.22426166
 -2.30537265  2.73008164 -0.59203666  2.81535572  2.47653928 -2.22653613
  0.30214403  2.99827543 -2.44906765  1.32614069 -2.68936771  3.16845139
  2.12897392 -2.58248868]"
297,"[ 0.75693188  1.86761246 -2.16688538 -1.30536261 -1.32550049  0.71332769
  1.08490887  1.90904617 -0.34431901 -2.07896404 -0.11568329  0.97069731
  1.76758614  0.23521433  2.89484806  0.09301117 -1.83567753 -3.84542389
  0.79205513 -2.02055225  0.20920177 -1.48176804 -1.21646891  1.579002
  0.93555946 -1.12097969  0.96306591 -0.105003    1.83016338 -0.3048337
  0.73441243  0.08136621]"
298,"[ 1.92726496e+00  1.20715682e+00 -1.40550698e+00 -2.80015013e+00
 -3.65947432e-01  1.87828000e+00  2.04670525e+00  3.37136078e+00
 -1.36718538e+00 -1.81363720e+00 -1.25778400e+00  9.49524343e-04
  3.72935295e-01 -1.08910794e+00  2.44414775e+00  5.97635905e-01
 -1.30889765e+00 -3.68987359e+00  5.95426146e-03 -1.25630771e+00
  1.43889374e+00 -3.74984158e-01 -1.60227299e+00  5.19103315e-01
  2.61258592e+00 -8.33005587e-01  1.17818991e+00 -1.78971884e+00
  2.30359671e+00  1.09444597e+00  3.31384950e-01  5.08706093e-01]"
299,"[-2.15491727  1.31968515 -1.60487259  0.60846097 -2.67058071  0.84603283
 -1.56840998 -1.60703818  2.21637871 -0.53107158  2.47579087  1.53897259
  3.26238975  1.04745348  1.63056405 -1.52740778 -0.68867285 -2.26650885
  0.92422949 -1.15996281 -2.72386614 -1.63625809  0.53724859  1.9274122
 -1.70429742 -0.20183756 -0.60339563  2.76641846 -0.8304087  -1.202344
  2.96516689 -2.61901952]"
300,"[-2.4347799  -1.96690167  1.80621484 -0.28389555  0.75092383  3.47185157
 -2.07380923 -1.55709166  2.47343355  2.46878142  0.44771702 -2.10484583
 -0.92051242 -3.25372068 -1.81577626 -2.79539063  2.80928129  1.06515009
 -2.19188488  2.59666757 -0.6884272   2.65540246  2.34268548 -2.06662324
  0.34362653  2.86723754 -2.3300889   1.24982149 -2.56085564  3.04079549
  2.28528976 -2.70270157]"
301,"[ 2.15004603  1.54060164 -1.76106898 -2.51776959 -0.26656764  1.25682159
  2.31120427  3.53804016 -1.60975157 -2.23464148 -1.44192814  0.16444776
  0.4034071  -0.75076226  2.77557682  0.80927476 -1.76043901 -3.85048821
  0.26180971 -1.73747726  1.6934769  -0.74620987 -1.78318569  0.76805287
  2.51017834 -1.12326658  1.45939564 -1.84296399  2.70944196  0.71291229
 -0.13913477  1.04567946]"
302,"[-0.05782592  1.29889643 -1.55899072 -1.44923532 -1.71437454  1.72838783
  0.25409707  1.03760028  0.43856522 -1.18122232  0.65276396  0.84434307
  1.97601557 -0.14443485  2.16891146 -0.49146092 -0.94834507 -3.31984401
  0.42961401 -1.15171885 -0.68776137 -0.97997606 -0.65089458  1.30153441
  0.6312809  -0.51694614  0.28131893  0.44474712  0.76524842  0.09823961
  1.92640185 -1.28508484]"
303,"[ 3.05618531  2.8318743  -2.87463433 -1.05495003  0.57775988 -1.04329327
  3.30571992  3.33270482 -2.71997942 -3.35274669 -2.24761827  0.95236771
 -0.04017076  0.49313555  3.23408045  1.48104204 -3.15175547 -3.37061637
  1.36208153 -3.09813363  2.81023707 -2.08819839 -2.25961849  1.78681646
  1.88036292 -2.1043054   2.7209222  -2.36067745  3.57059206 -0.9361218
 -1.79125868  2.91405814]"
304,"[ 2.51209814  3.7961242  -1.56957071  2.4973637   3.64477747 -3.13752088
  1.94176327 -1.33711728 -2.27296309 -0.99194995 -3.96500744  3.29085471
 -2.2874468   3.25547513 -0.02246952  3.27121353 -1.4155615   1.12897769
  4.12843982 -0.58477133  4.23315048 -1.4824921  -3.80314151  2.41481608
 -0.95297458 -3.83754141  2.44655748 -1.89835011  0.12144692 -2.28842718
 -4.09645046  1.82532623]"
305,"[-3.11605857e-01  1.37936629e-01 -3.41793170e-01 -2.02534588e+00
 -9.30041093e-01  3.19832640e+00 -7.97259166e-02  7.69644224e-01
  7.09506695e-01  8.70722624e-02  6.03448501e-01 -1.90964424e-01
  8.53733283e-01 -1.49351061e+00  8.15522928e-01 -9.25854316e-01
  4.15450720e-01 -2.00717178e+00 -5.62035744e-01  2.96597316e-01
 -5.69473303e-01  4.06862186e-01  1.47589468e-02  6.91592510e-02
  1.21543253e+00  5.94534324e-01 -3.68274725e-01 -1.35578215e-03
 -1.46540568e-01  1.41781029e+00  2.54771952e+00 -2.18140411e+00]"
306,"[-0.74668972 -1.21457656  1.10601807 -1.53271945  0.47332589  3.5244929
 -0.52493612  0.40022206  0.9161249   1.42057069 -0.31147057 -1.58669408
 -0.76329263 -2.95827071 -0.79068104 -1.5319012   1.7835741  -0.31332469
 -1.65277799  1.80610609  0.26224955  2.16713031  1.09938502 -1.55156835
  1.72566557  1.80932013 -1.06018686 -0.27030653 -1.13935693  2.94003709
  1.76662906 -1.7919577 ]"
307,"[-1.79225286 -0.81894276  0.58203729 -1.01027997 -0.52245686  3.6326455
 -1.40352535 -0.89711242  1.90337075  1.45581722  1.42024814 -0.88579538
  0.45096159 -2.00543616 -0.5845125  -2.01073964  1.65905857 -0.151285
 -1.19665421  1.39321529 -1.4684871   1.23392985  1.38453579 -0.69593673
  0.34314831  1.77074146 -1.40710227  0.92840311 -1.63112958  1.80519613
  3.31829876 -3.40509627]"
308,"[ 0.10444858 -1.4055184   1.4159956  -1.58693681  1.23006139  3.15584619
  0.24062002  1.44606754 -0.06624235  1.41593824 -1.54470648 -2.05481393
 -1.70408671 -3.42071288 -1.0988305  -0.99202313  1.72550706 -0.11386878
 -1.8810166   2.02149677  1.57887554  2.78171621  1.0324267  -2.15328366
  2.87935802  1.70344285 -0.53033992 -1.38514001 -0.73111582  3.62405668
  0.47657793 -0.49107402]"
309,"[ 3.570464    3.69542912 -3.40701875 -0.05320238  1.23113342 -2.23121007
  3.76777867  2.55769384 -3.36856624 -3.6664149  -2.68869109  1.66606594
 -0.47304894  1.24909519  3.0397813   1.7961137  -3.69970957 -2.56807218
  2.13980575 -3.53311739  3.49661691 -2.88959285 -2.49209413  2.57099115
  1.28059905 -2.65410959  3.54117439 -2.74461092  3.54863485 -2.02690088
 -2.46709442  3.70533135]"
310,"[ 6.64923859e-01  1.72347832e+00 -2.00806198e+00 -1.45100314e+00
 -1.37757403e+00  1.01120237e+00  9.67930412e-01  1.81960805e+00
 -2.37107722e-01 -1.88637695e+00 -1.30636980e-02  9.00473086e-01
  1.76019198e+00  7.78144121e-02  2.74204051e+00  1.34629806e-03
 -1.62069066e+00 -3.77188288e+00  6.70529366e-01 -1.79410121e+00
  8.40545893e-02 -1.32185555e+00 -1.13551636e+00  1.47818871e+00
  9.71670977e-01 -9.88599332e-01  8.29098829e-01 -8.44574451e-02
  1.64580599e+00 -1.34541766e-01  9.73493004e-01 -1.88143762e-01]"
312,"[ 1.39325066  0.82069912 -0.99169455 -2.91879692 -0.6291101   2.56745987
  1.46032763  2.77255802 -0.83023119 -1.21323986 -0.76659689 -0.08127156
  0.50681334 -1.35667334  1.94461861  0.23740189 -0.68788295 -3.36643181
 -0.23786104 -0.63961029  0.87276115 -0.04744393 -1.24579887  0.33287439
  2.41226921 -0.42885494  0.69340968 -1.41263447  1.59736691  1.39989691
  1.09477444 -0.39362361]"
313,"[ 1.9412632   2.22254419 -2.51645899 -1.29653796 -0.36380422 -0.25785152
  2.29674816  3.06779385 -1.54070123 -2.90966574 -1.29450806  0.74540774
  0.87075035  0.29046249  3.32491811  0.88883543 -2.6226457  -3.90243212
  0.95943658 -2.73550383  1.58789968 -1.69010194 -1.78296916  1.47228654
  1.59063816 -1.61690839  1.77209663 -1.21830519  3.01381365 -0.46029957
 -0.80070297  1.74924994]"
315,"[-4.33319731 -4.12389604  3.97805853  2.71113793  3.31985727  0.89756735
 -3.88413049 -3.8924358   4.23120224  4.30549215 -1.49304306 -4.09945399
 -3.2895172  -4.75345848 -3.97381698 -4.5393301   4.475208    3.60157556
 -3.72451955  4.51395706  0.68274286  4.79602157  4.53033314 -4.33189639
 -1.13653844  4.85535894 -4.29197726  3.00813847 -4.65571214  4.46236769
 -0.75453206 -0.10023255]"
316,"[ 0.62997996 -0.28653017  0.1692201  -2.60029966  0.0092914   3.42189165
  0.71685444  1.88403043 -0.2393938   0.18855448 -0.67171019 -0.90765589
 -0.32401863 -2.35964602  0.46757408 -0.47345803  0.65410484 -1.79093118
 -1.01467713  0.77082634  0.74708306  1.25287593 -0.16801082 -0.73785513
  2.47278699  0.70604558 -0.04432886 -1.2731351   0.2935289   2.40371721
  1.46775506 -1.1469287 ]"
317,"[ 3.31041321  3.26473724 -3.18951324 -0.60355492  0.86756874 -1.63392975
  3.57046875  3.07383362 -3.05283081 -3.59514679 -2.47740799  1.27250328
 -0.21900532  0.85859955  3.25216461  1.63712769 -3.49187317 -3.09956329
  1.7327066  -3.3992334   3.14784515 -2.50456085 -2.3969191   2.16753708
  1.62435791 -2.38696625  3.13543457 -2.54319199  3.66617126 -1.45960114
 -2.14386429  3.34778809]"
