label,centroid
27,"[ 1.27671359e+00  3.17088146e+00 -1.67082848e-01  3.35671997e+00
  4.41925639e+00 -2.79535134e+00  3.73930100e-01 -3.15997905e+00
 -1.06924746e+00  7.36718947e-01 -4.19049515e+00  3.63077176e+00
 -2.92902990e+00  3.89460877e+00 -1.65702008e+00  3.87481419e+00
  3.01739077e-01  2.74319778e+00  4.64667437e+00  1.37563004e+00
  3.92321137e+00 -1.25865183e-01 -4.22460642e+00  1.69484342e+00
 -1.96653637e+00 -4.08884504e+00  1.06134378e+00 -9.37685505e-01
 -1.86523622e+00 -1.65878911e+00 -4.49551195e+00  9.54042039e-04]"
28,"[-2.62946604 -2.21029284  2.06267509 -0.02329256  1.03274157  3.3213472
 -2.25870397 -1.7692244   2.64249014  2.68805043  0.23537064 -2.35660302
 -1.20773482 -3.48130119 -2.08066442 -2.98869736  3.03661397  1.35044627
 -2.39444371  2.83484644 -0.52345048  2.93829702  2.583317   -2.35072962
  0.26092827  3.10259698 -2.54601806  1.39236729 -2.79265043  3.26390956
  2.01108323 -2.49325873]"
29,"[ 1.5062815   0.87193901 -1.04443891 -2.95133149 -0.58079268  2.50333103
  1.57519863  2.91626719 -0.9400943  -1.30628495 -0.87282633 -0.0820444
  0.47094064 -1.34292864  2.02746984  0.30756172 -0.77418935 -3.43570067
 -0.21700882 -0.72187901  0.98457286 -0.06927238 -1.32327682  0.3432167
  2.49297413 -0.49877603  0.78070676 -1.51007371  1.72065574  1.3863683
  0.97231704 -0.25153602]"
30,"[-1.23472371  2.46694789 -2.80513763  1.27842914 -2.52424509 -1.10812883
 -0.58626068 -0.84550975  1.33484683 -1.98971782  1.72558448  2.21263459
  3.51101842  2.16199291  2.88705938 -0.74848988 -2.22566605 -3.14657705
  1.83205111 -2.74938337 -1.76029789 -2.8254583  -0.23666188  2.81591146
 -1.84764683 -1.27291421  0.38497308  2.53876249  0.58007863 -2.40112596
  1.26870436 -0.66566187]"
31,"[ 2.70595671  2.39726277 -2.60984722 -1.45984479  0.22507422 -0.49749671
  2.98830896  3.61501593 -2.28809839 -3.17846619 -1.95070046  0.6302952
  0.23979609  0.16831305  3.32126055  1.29293863 -2.86333947 -3.74975987
  0.99683561 -2.89172825  2.37883578 -1.7243554  -2.11590134  1.41685737
  2.06292444 -1.81648837  2.24663785 -2.03979572  3.52153256 -0.44085573
 -1.41401241  2.44939925]"
32,"[-1.96981155 -0.1875237  -0.08744115 -0.6042143  -1.22436714  2.97305213
 -1.49776512 -1.12513012  2.06654061  0.9030838   1.83403948 -0.15584838
  1.34630479 -1.13298342  0.08972789 -1.92515839  0.99761995 -0.82500283
 -0.59799115  0.66852172 -1.94038433  0.38607883  1.16089227  0.10355495
 -0.26122957  1.22150442 -1.1895913   1.49486605 -1.4433634   0.95146603
  3.4146489  -3.35740662]"
33,"[ 2.28904152  3.71617842 -1.31570518  2.70066071  3.8261075  -3.10782027
  1.64734924 -1.72704887 -2.06064892 -0.65969485 -4.03399324  3.40080142
 -2.43355489  3.42642713 -0.35153586  3.42019987 -1.09401929  1.47465205
  4.27573109 -0.20707135  4.20363712 -1.24524879 -3.92023253  2.31008506
 -1.17630708 -3.92663002  2.20391369 -1.72729528 -0.27372834 -2.20383739
 -4.20471287  1.47829342]"
35,"[ 3.69972452  3.9210364  -3.40061569  0.28155935  1.50809352 -2.55821498
  3.82667987  2.17635107 -3.51791859 -3.57374859 -2.87376849  1.92889913
 -0.67578348  1.50377289  2.80001036  1.92200406 -3.68656603 -2.17095963
  2.41713476 -3.46728039  3.75174395 -3.0154918  -2.57321755  2.76491451
  1.04869334 -2.83193207  3.73061816 -2.82686138  3.35979716 -2.32690811
 -2.67105548  3.83769608]"
36,"[-2.02676264  0.09375731 -0.37684158 -0.39530563 -1.51796548  2.61366479
 -1.53143676 -1.22795192  2.12551816  0.64262589  1.97819646  0.17101395
  1.73406521 -0.73366157  0.38749643 -1.8742485   0.69061748 -1.12444631
 -0.31780187  0.3371073  -2.11968676  0.00772219  1.04892397  0.45457367
 -0.53870022  0.96760233 -1.09454083  1.75682847 -1.34856256  0.55803045
  3.38046741 -3.26464399]"
37,"[-0.15630771  2.1604538  -2.49383938 -0.16133704 -1.91270354 -0.07794862
  0.32298157  0.67371039  0.44458745 -2.05829112  0.74114834  1.55796363
  2.61725478  1.09805159  2.95695149 -0.32251609 -2.03278235 -3.62840757
  1.26810571 -2.36624146 -0.72815988 -2.10417175 -0.79133485  2.17172657
 -0.32495163 -1.1919684   0.70155132  1.11152348  1.27264231 -1.24723192
  1.04447579 -0.3011561 ]"
